date,percentile,variable,income
2022,38,median,5000
2022,39,median,5100
2022,40,median,5200
2022,41,median,5304
2022,42,median,5404
2022,43,median,5512
2022,44,median,5618
2022,45,median,5718
2022,46,median,5822
2022,47,median,5934
2022,48,median,6055
2022,49,median,6172
2022,50,median,6285
2022,51,median,6398
2022,52,median,6517
2022,53,median,6644
2022,54,median,6780
2022,55,median,6908
2022,56,median,7048
2022,57,median,7185
2022,58,median,7325
2022,59,median,7467
2022,60,median,7623
2022,61,median,7772
2022,62,median,7932
2022,63,median,8092
2022,64,median,8260
2022,65,median,8431
2022,66,median,8602
2022,67,median,8789
2022,68,median,8965
2022,69,median,9157
2022,70,median,9351
2022,71,median,9555
2022,72,median,9769
2022,73,median,9991
2022,74,median,10208
2022,75,median,10445
2022,76,median,10657
2022,77,median,10907
2022,78,median,11154
2022,79,median,11413
2022,80,median,11675
2022,81,median,11963
2022,82,median,12251
2022,83,median,12554
2022,84,median,12926
2022,85,median,13301
2022,86,median,13661
2022,87,median,14066
2022,88,median,14528
2022,89,median,15019
2022,90,median,15575
2022,91,median,16189
2022,92,median,16922
2022,93,median,17779
2022,94,median,18843
2022,95,median,20112
2022,96,median,21585
2022,97,median,23745
2022,98,median,26557
2022,99,median,32157
2022,100,median,62585
2019,1,median,1001
2019,2,median,1244
2019,3,median,1559
2019,4,median,1718
2019,5,median,1856
2019,6,median,1994
2019,7,median,2111
2019,8,median,2222
2019,9,median,2342
2019,10,median,2448
2019,11,median,2520
2019,12,median,2573
2019,13,median,2626
2019,14,median,2681
2019,15,median,2748
2019,16,median,2824
2019,17,median,2902
2019,18,median,2981
2019,19,median,3050
2019,20,median,3130
2019,21,median,3203
2019,22,median,3285
2019,23,median,3360
2019,24,median,3436
2019,25,median,3519
2019,26,median,3596
2019,27,median,3680
2019,28,median,3760
2019,29,median,3845
2019,30,median,3931
2019,31,median,4014
2019,32,median,4091
2019,33,median,4173
2019,34,median,4262
2019,35,median,4342
2019,36,median,4430
2019,37,median,4521
2019,38,median,4614
2019,39,median,4704
2019,40,median,4796
2019,41,median,4896
2019,42,median,4988
2019,43,median,5085
2019,44,median,5184
2019,45,median,5286
2019,46,median,5384
2019,47,median,5498
2019,48,median,5601
2019,49,median,5712
2019,50,median,5823
2019,51,median,5931
2019,52,median,6046
2019,53,median,6166
2019,54,median,6290
2019,55,median,6416
2019,56,median,6536
2019,57,median,6659
2019,58,median,6783
2019,59,median,6909
2019,60,median,7033
2019,61,median,7163
2019,62,median,7293
2019,63,median,7442
2019,64,median,7587
2019,65,median,7746
2019,66,median,7906
2019,67,median,8066
2019,68,median,8229
2019,69,median,8401
2019,70,median,8579
2019,71,median,8761
2019,72,median,8948
2019,73,median,9149
2019,74,median,9353
2019,75,median,9583
2019,76,median,9812
2019,77,median,10046
2019,78,median,10284
2019,79,median,10545
2019,80,median,10809
2019,81,median,11092
2019,82,median,11383
2019,83,median,11712
2019,84,median,12022
2019,85,median,12381
2019,86,median,12778
2019,87,median,13204
2019,88,median,13681
2019,89,median,14176
2019,90,median,14734
2019,91,median,15343
2019,92,median,16006
2019,93,median,16850
2019,94,median,17801
2019,95,median,19084
2019,96,median,20600
2019,97,median,22670
2019,98,median,25834
2019,99,median,31549
2019,100,median,47319
